Duration,Action Time/ Film Duration Ratio,Act Start,Act End,Act Duration,Action Sequence,Participants,Narrational Perspectives,Action Forms,Act,Start,End,Duration 
01:58:21,57%,00:01:53,00:32:33,00:30:40,1. Princess Leia Captured,"Tantive IV (rebels), Devastator (Imperial army), Princess Leia, Darth Vader ","Tantive IV (rebels), Devastator (Imperial army),  C-3PO, R2-D2, Princess Leia, Darth Vader","Speed, Fight, Capture, Escape: audio cue of spaceship first, spacehip battle with futuristic weapons; cue passing before camera, (interior of Tantive) rebel soldiers running,  audio and shaking from the blasts; more rebel soldiers rush past; Tantive IV ship captured by Devastator; door blasted through as stormtroopers fire at rebels as they fire back, storm troopers overcome rebels who retreat, C-3PO, R2-D2 escape from firefight, in backgroud shot of C-3PO rebels are fleeing; stormtroopers capture rebels; unidirectional choking and crushing of rebel's neck by Darth Vader who tosses him against wall, Princess Leia blasts a storm trooper, Princess Leia blasted by special ray gun that knocks her out (capture scenario), C-3PO, R2-D2 escape in escape pod from destroyer, speed of pod conveyed from Destroyer (passing background of stars) and from the pod (reduction in size of Destroyer); pod descends to planet; stormtroopers convey captured Princess Leia to Darth Vader; storm trooper shoves Princess Leia ahead; sequence ends with Destroyer leaving area at speed - cue passing scenery",1,00:02:08,00:08:55,00:06:47
,,"when scroll 
disappears",Rescued by Obi-Wan Kenobi,,2. R2-D2 Kicked,"C-3PO, R2-D2 ","C-3PO, R2-D2 ",Fight: unidirectional kicking of R2-D2 by C-3PO,1,00:09:51,00:10:01,00:00:10
,,,,,3. R2-D2 Blasted,"R2-D2, Jawas","R2-D2, Jawas","Fight, Capture: unidirectional firing at R2-D2 by Jawas  and captured and taken to their Sandcrawler - ends when R2-D2 is sucked up",1,00:12:15,00:13:50,00:01:35
,,,,,4. Sandcrawler on the Move,"R2-D2, Jawas","R2-D2, Jawas",Speed:  cue - passing background,1,00:15:01,00:15:10,00:00:09
,,,,,5. Search Party,Storm troopers ,Storm troopers ,Speed:  troop carrier - comparability of speed as cue - comparative speed with storm troopers on the ground; dewbacks do not move faster than walking storm troopers,1,00:15:10,00:15:20,00:00:10
,,,,,6. Sandcrawler on the Move II,"R2-D2, Jawas","R2-D2, Jawas",Speed:  cue - passing background and audio cue,1,00:15:39,00:15:50,00:00:11
,,,,,7. Beru Auntie Calls,Luke Skywalker,"Luke Skywalker, Beru Whitesun Lars","Speed:  Luke sprints cue - pace, deacceleration as comparability of speed as Luke stops at edge, acceleration as comparability of speed as Luke returns to uncle",1,00:17:14,00:17:30,00:00:16
,,,,,8. C-3PO and R2-D2 Purchased,Jawas,"Jawas, Luke, C-3PO, R2-D2, Owen Lars",Speed: Jawas sprint in background and sprint to take back defective droid - cue pace,1,00:18:14,00:19:20,00:01:06
,,,,,9. Princess Leia's Hologram,Luke Skywalker,"Luke Skywalker, C-3PO, R2-D2","Fall (Speed Variant), Fight: Luke falls onto ground when trying to fix R2-D2",1,00:20:58,00:21:13,00:00:15
,,,,,10. R2-D2 Slapped ,"C-3PO, R2-D2 ","C-3PO, R2-D2, Luke Skywalker",Fight: C-3PO unidirectionaly slaps R2-D2,1,00:23:04,00:23:09,00:00:05
